id,name,owner,capacity,storage,active_storage,dead_storage,volume,percent_storage,inflow,outflow,date
100104,เขื่อนแม่กวงอุดมธารา,กรมชลประทาน,295.0,263.0,249.0,14.0,210.27,79.95,0.196,0.106,2024-01-01
100105,เขื่อนกิ่วลม,กรมชลประทาน,106.22,106.22,102.67,3.55,95.61,90.01,1.19,1.81,2024-01-01
100106,เขื่อนกิ่วคอหมา,กรมชลประทาน,208.6,170.0,163.8,6.2,181.94,107.02,,0.74,2024-01-01
100107,เขื่อนแควน้อยบำรุงแดน,กรมชลประทาน,1080.0,939.0,896.0,43.0,841.0,89.56,0.57,3.46,2024-01-01
100108,เขื่อนแม่มอก,กรมชลประทาน,110.0,110.0,94.1,15.9,93.9,85.36,0.011,0.711,2024-01-01
200101,เขื่อนภูมิพล,การไฟฟ้า,13462.0,13462.0,9662.0,3800.0,9947.0,73.89,3.9,29.95,2024-01-01
200102,เขื่อนสิริกิติ์,การไฟฟ้า,10508.0,9510.0,6660.0,2850.0,5689.0,59.82,2.49,13.97,2024-01-01
200103,เขื่อนแม่งัดสมบูรณ์ชล,กรมชลประทาน,323.0,265.0,253.0,12.0,285.73,107.82,0.072,0.321,2024-01-01
100201,เขื่อนห้วยหลวง,กรมชลประทาน,135.57,135.57,128.98,6.59,106.32,78.42,,0.455,2024-01-01
100202,เขื่อนน้ำอูน,กรมชลประทาน,780.0,520.0,475.0,45.0,407.0,78.27,0.27,,2024-01-01
100206,เขื่อนลำปาว,กรมชลประทาน,2450.0,1980.0,1880.0,100.0,1771.84,89.49,1.59,5.8,2024-01-01
100207,เขื่อนลำตะคอง,กรมชลประทาน,445.0,314.49,291.79,22.7,182.0,57.87,,0.26,2024-01-01
100208,เขื่อนลำพระเพลิง,กรมชลประทาน,242.0,155.0,153.6,1.4,106.18,68.51,0.058,,2024-01-01
100209,เขื่อนมูลบน,กรมชลประทาน,350.0,141.0,134.0,7.0,83.0,58.87,0.14,0.09,2024-01-01
100210,เขื่อนลำแซะ,กรมชลประทาน,325.0,275.0,268.0,7.0,147.0,53.45,,0.03,2024-01-01
100211,เขื่อนลำนางรอง,กรมชลประทาน,196.67,121.41,177.96,3.0,73.86,60.83,,,2024-01-01
200203,เขื่อนน้ำพุง,การไฟฟ้า,200.0,165.0,157.0,8.0,129.62,78.56,0.02,0.31,2024-01-01
200204,เขื่อนจุฬาภรณ์,การไฟฟ้า,181.0,164.0,127.0,37.0,130.95,79.85,0.08,0.2,2024-01-01
200205,เขื่อนอุบลรัตน์,การไฟฟ้า,2431.0,2431.0,1850.0,581.0,2012.85,82.8,,8.0,2024-01-01
200212,เขื่อนสิรินธร,การไฟฟ้า,1966.0,1966.0,1134.62,831.38,1590.28,80.89,,3.81,2024-01-01
100301,เขื่อนป่าสักชลสิทธิ์,กรมชลประทาน,960.0,960.0,957.0,3.0,802.5,83.59,,5.621,2024-01-01
100302,เขื่อนทับเสลา,กรมชลประทาน,190.0,160.0,143.0,17.0,71.67,44.79,,,2024-01-01
100303,เขื่อนกระเสียว,กรมชลประทาน,390.0,299.0,259.0,40.0,95.44,31.92,,0.06,2024-01-01
200401,เขื่อนศรีนครินทร์,การไฟฟ้า,18770.0,17745.0,7480.0,10265.0,14603.7,82.3,7.84,6.9,2024-01-01
200402,เขื่อนวชิราลงกรณ์,การไฟฟ้า,11000.0,8860.0,5848.0,3012.0,7547.72,85.19,,12.08,2024-01-01
100501,เขื่อนขุนด่านปราการชล,กรมชลประทาน,224.9,224.0,219.48,4.52,186.47,83.25,0.008,3.18,2024-01-01
100502,เขื่อนคลองสียัด,กรมชลประทาน,450.0,420.0,390.0,30.0,141.54,33.7,,1.16,2024-01-01
100503,เขื่อนบางพระ,กรมชลประทาน,127.0,117.0,104.94,12.06,83.0,70.94,0.05,0.35,2024-01-01
100504,เขื่อนหนองปลาไหล,กรมชลประทาน,205.85,163.75,150.25,13.5,156.52,95.59,,0.231,2024-01-01
100505,เขื่อนประแสร์,กรมชลประทาน,322.0,295.0,275.0,20.0,245.61,83.26,,0.68,2024-01-01
100514,เขื่อนนฤบดินทรจินดา,กรมชลประทาน,338.0,295.0,280.75,14.25,255.57,86.63,0.02,1.46,2024-01-01
100602,เขื่อนปราณบุรี,กรมชลประทาน,490.0,391.0,373.41,17.59,179.0,45.78,,0.29,2024-01-01
200601,เขื่อนแก่งกระจาน,กรมชลประทาน,900.0,710.0,645.0,65.0,422.43,59.5,0.26,1.6,2024-01-01
