id,name,owner,capacity,storage,active_storage,dead_storage,volume,percent_storage,inflow,outflow,date
100104,เขื่อนแม่กวงอุดมธารา,กรมชลประทาน,295.0,263.0,249.0,14.0,130.02,49.44,0.046,0.597,2018-01-01
100105,เขื่อนกิ่วลม,กรมชลประทาน,106.22,106.22,102.67,3.55,98.7,92.92,1.277,2.026,2018-01-01
100106,เขื่อนกิ่วคอหมา,กรมชลประทาน,208.6,170.0,163.8,6.2,177.59,104.46,0.248,0.248,2018-01-01
100107,เขื่อนแควน้อยบำรุงแดน,กรมชลประทาน,1080.0,939.0,896.0,43.0,826.25,87.99,1.04,5.184,2018-01-01
100108,เขื่อนแม่มอก,กรมชลประทาน,110.0,110.0,94.1,15.9,96.7,87.91,0.779,1.399,2018-01-01
200101,เขื่อนภูมิพล,การไฟฟ้า,13462.0,13462.0,9662.0,3800.0,10556.0,78.41,7.87,21.0,2018-01-01
200102,เขื่อนสิริกิติ์,การไฟฟ้า,10508.0,9510.0,6660.0,2850.0,7947.0,83.56,8.75,29.33,2018-01-01
200103,เขื่อนแม่งัดสมบูรณ์ชล,กรมชลประทาน,323.0,265.0,253.0,12.0,262.53,99.07,0.42,0.254,2018-01-01
100201,เขื่อนห้วยหลวง,กรมชลประทาน,135.57,135.57,128.98,6.59,109.61,80.85,,0.086,2018-01-01
100202,เขื่อนน้ำอูน,กรมชลประทาน,780.0,520.0,475.0,45.0,462.51,88.94,,0.323,2018-01-01
100206,เขื่อนลำปาว,กรมชลประทาน,2450.0,1980.0,1880.0,100.0,1705.6,86.14,2.06,4.86,2018-01-01
100207,เขื่อนลำตะคอง,กรมชลประทาน,445.0,314.49,291.79,22.7,,,,,2018-01-01
100208,เขื่อนลำพระเพลิง,กรมชลประทาน,242.0,155.0,153.6,1.4,137.38,88.63,,,2018-01-01
100209,เขื่อนมูลบน,กรมชลประทาน,350.0,141.0,134.0,7.0,,,,,2018-01-01
100210,เขื่อนลำแซะ,กรมชลประทาน,325.0,275.0,268.0,7.0,,,,,2018-01-01
100211,เขื่อนลำนางรอง,กรมชลประทาน,196.67,121.41,177.96,3.0,77.22,63.6,,,2018-01-01
200203,เขื่อนน้ำพุง,การไฟฟ้า,200.0,165.0,157.0,8.0,129.0,78.18,,0.68,2018-01-01
200204,เขื่อนจุฬาภรณ์,การไฟฟ้า,181.0,164.0,127.0,37.0,156.0,95.12,0.13,,2018-01-01
200205,เขื่อนอุบลรัตน์,การไฟฟ้า,2431.0,2431.0,1850.0,581.0,2115.0,87.0,1.07,9.23,2018-01-01
200212,เขื่อนสิรินธร,การไฟฟ้า,1966.0,1966.0,1134.62,831.38,1555.0,79.09,0.79,,2018-01-01
100301,เขื่อนป่าสักชลสิทธิ์,กรมชลประทาน,960.0,960.0,957.0,3.0,769.82,80.19,1.49,3.53,2018-01-01
100302,เขื่อนทับเสลา,กรมชลประทาน,190.0,160.0,143.0,17.0,137.75,86.09,,,2018-01-01
100303,เขื่อนกระเสียว,กรมชลประทาน,390.0,299.0,259.0,40.0,289.0,96.66,0.32,0.11,2018-01-01
200401,เขื่อนศรีนครินทร์,การไฟฟ้า,18770.0,17745.0,7480.0,10265.0,15562.0,87.7,5.02,4.97,2018-01-01
200402,เขื่อนวชิราลงกรณ์,การไฟฟ้า,11000.0,8860.0,5848.0,3012.0,6767.0,76.38,,7.03,2018-01-01
100501,เขื่อนขุนด่านปราการชล,กรมชลประทาน,224.9,224.0,219.48,4.52,196.0,87.5,,0.767,2018-01-01
100502,เขื่อนคลองสียัด,กรมชลประทาน,450.0,420.0,390.0,30.0,271.88,64.73,,1.6,2018-01-01
100503,เขื่อนบางพระ,กรมชลประทาน,127.0,117.0,104.94,12.06,101.23,86.52,0.04,,2018-01-01
100504,เขื่อนหนองปลาไหล,กรมชลประทาน,205.85,163.75,150.25,13.5,143.38,87.56,0.109,0.329,2018-01-01
100505,เขื่อนประแสร์,กรมชลประทาน,322.0,295.0,275.0,20.0,258.84,87.74,,0.63,2018-01-01
